URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bd6t5963913c;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1939-11-30;"30 novembre 1939 ¤ 1939/11/30 (A62,N320). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;86.72;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bpt6k31904139;Unterländer Kurier ¤ Le Courrier de la Basse-Alsace;fascicules;;;[s.n.] (Haguenau);1928-10-23;"23 octobre 1928 ¤ 1928/10/23 (N248,A21). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32886381s;domaine public ¤ public domain;6156;BIPNOUV ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014;85.76;Bibliothèque nationale et universitaire de Strasbourg , M.600.014
https://www.numistral.fr/ark:/12148/bd6t59638679;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1939-10-06;"06 octobre 1939 ¤ 1939/10/06 (A62,N274). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;86.48;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bpt6k31444988;Unterländer Kurier ¤ Le Courrier de la Basse-Alsace;fascicules;;;[s.n.] (Haguenau);1930-04-07;"07 avril 1930 ¤ 1930/04/07 (N83,A23). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32886381s;domaine public ¤ public domain;6156;BIPNOUV ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014;74.19;Bibliothèque nationale et universitaire de Strasbourg , M.600.014
https://www.numistral.fr/ark:/12148/bpt6k31892594;Unterländer Kurier ¤ Le Courrier de la Basse-Alsace;fascicules;;;[s.n.] (Haguenau);1923-12-04;"04 décembre 1923 ¤ 1923/12/04 (N284,A16). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb32886381s;domaine public ¤ public domain;6156;BIPNOUV ¤ BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BNUStr014;83.43;Bibliothèque nationale et universitaire de Strasbourg , M.600.014
https://www.numistral.fr/ark:/12148/bd6t59579786;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1940-05-15;"15 mai 1940 ¤ 1940/05/15 (A63,N113). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;86.74;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t59638692;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1939-10-09;"09 octobre 1939 ¤ 1939/10/09 (A62,N276). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;85.78;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5957953m;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1940-04-15;"15 avril 1940 ¤ 1940/04/15 (A63,N88). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;86.12;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5965589c;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1922-07-18;"18 juillet 1922 ¤ 1922/07/18 (A45,N165). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;82.34;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t59626360;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1933-02-04;"04 février 1933 ¤ 1933/02/04 (A56,N35). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;81.16;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
