URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bpt6k3181107k;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1924-11-19;"19 novembre 1924 ¤ 1924/11/19 (N268,A84). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;81.89;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3182039h;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1928-12-24;"24 décembre 1928 ¤ 1928/12/24 (N300,A88). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;78.92;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3181704d;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1927-11-17;"17 novembre 1927 ¤ 1927/11/17 (N265,A87). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;83.84;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k31819896;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1928-10-25;"25 octobre 1928 ¤ 1928/10/25 (N250,A88). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;82.58;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3181141m;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1924-12-31;"31 décembre 1924 ¤ 1924/12/31 (N303,A84). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;79.37;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3181377x;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1925-10-13;"13 octobre 1925 ¤ 1925/10/13 (N238,A85). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;81.61;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3181371f;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1925-10-06;"06 octobre 1925 ¤ 1925/10/06 (N232,A85). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;81.81;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3181125h;Journal de Haguenau : indicateur général du Bas-Rhin;fascicules;;;[s.n.] (Haguenau);1924-12-10;"10 décembre 1924 ¤ 1924/12/10 (N287,A84). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34446050f;domaine public ¤ public domain;;BNUStr014;84.09;Bibliothèque nationale et universitaire de Strasbourg , M.600.015
https://www.numistral.fr/ark:/12148/bpt6k3029327m;Weissenburger Zeitung;fascicules;;;[s.n.] (Weissenburg);1906-02-07;"07 février 1906 ¤ 1906/02/07 (N32). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb420481343;domaine public ¤ public domain;;BNUStr014;83.35;Bibliothèque nationale et universitaire de Strasbourg , M.600.047
https://www.numistral.fr/ark:/12148/bpt6k3151184j;Journal de Guebwiller / Landwirtschaftlicher Kreisverein Gebweiler;fascicules;;;[s.n.] (Guebwiller);1932-02-10;"10 février 1932 ¤ 1932/02/10 (N34,A64). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb41947606d;domaine public ¤ public domain;;BIPNOUV ¤ BNUStr014;74.5;Bibliothèque nationale et universitaire de Strasbourg , M.600.012
